portfolio,Ticker,beta_2021
central,AAPL,1.3093613297175357
central,ACWI,0.9253452639759082
central,ACWX,0.8360532089444729
central,ADI,1.379413523783279
central,ADP,0.861857719535178
central,AIA,0.9039614855305761
central,AMAT,2.1747643002836
central,AMKR,2.1464981724619325
central,AMSF,0.49404484095957507
central,ATLO,0.3319566724705185
central,AVGO,1.5116667214872628
central,BANR,1.2184630218595551
central,CACC,0.3119219351590718
central,CDNS,1.657094470993881
central,CENTA,0.9425855106546002
central,CENX,2.0999763370255673
central,COLB,1.215609853232373
central,CPRT,1.2389551989485872
central,CVBF,0.848838366118565
central,CVLT,1.3940238829802158
central,ECPG,0.5909254313813729
central,EEFT,1.3359370803846145
central,EGBN,0.917027454142948
central,EVRG,0.29920349875568386
central,EWBC,1.3813477794083986
central,EXC,0.6883377945341083
central,FAD,1.2153327408380994
central,FEX,0.9896030892104063
central,FITB,1.2437040937774104
central,FNX,1.1342285728607584
central,FORM,2.1983786401497376
central,FWRD,1.1631578467832067
central,HAS,0.6574651802285957
central,HURC,0.859789515925751
central,IBKR,1.1513456668061892
central,ICLN,1.4029549025887822
central,INDY,0.8229595446865168
central,JKHY,0.6590639397645731
central,KRNY,0.7444432940530565
central,MKTX,0.7575424422350046
central,MRVL,1.8176529703810589
central,MSEX,0.5458166408854342
central,NRIM,0.8727615804421907
central,NVEC,0.9689693753805977
central,NWE,0.4766253626157489
central,PAYX,0.8881530232484766
central,PDFS,1.2992036170319121
central,PEY,0.686435184886619
central,PHO,0.9449715564479069
central,PLAB,1.590275918587411
central,POWI,1.8172405314036495
central,PTC,1.604407041479704
central,QQQ,1.219653645572553
central,QTEC,1.4991524745077212
central,SBUX,0.9447271165145107
central,STRL,1.605971844350791
central,TBBK,1.51014951145218
central,TCBK,0.9930827793175009
central,TER,2.0906021713474625
central,TROW,1.3885989775971528
central,TTWO,0.6857061932712342
central,UCTT,2.6288368161390596
central,VOD,0.7085077714763762
central,VRSN,0.7815835982019204
central,WTW,0.8160702828854701
central,XRAY,0.9221922437864881
central,ZBRA,1.298092789599967
peripheral,AACG,7.072602603240444
peripheral,ABVC,0.19760211839027744
peripheral,ACNT,0.4439058825500033
peripheral,AIRT,1.077685679969624
peripheral,AMTX,2.3267868932576774
peripheral,ANIX,1.2200031848123407
peripheral,ARKR,0.9261186321092878
peripheral,ARTW,0.34437743661706766
peripheral,ATLC,1.7167197788539732
peripheral,AVBH,0.1212571211524593
peripheral,AVDL,0.6218739031125161
peripheral,BHRB,0.11421831286038202
peripheral,BMRA,0.8809794476362607
peripheral,BVFL,0.020609187426749765
peripheral,BYRN,0.3151248913463478
peripheral,CELH,2.0726116065039855
peripheral,CODA,0.3994192247785744
peripheral,CPSH,2.108515366881401
peripheral,CREX,1.435876197361577
peripheral,CRVO,1.1390992626160166
peripheral,CRWS,0.12913970302078562
peripheral,CYRX,1.7423314387285724
peripheral,CZFS,0.10234477181005358
peripheral,DRS,1.352855884850342
peripheral,DXR,0.5437216625446446
peripheral,DYAI,1.5146567963789177
peripheral,EBMT,0.4012195785354469
peripheral,EDAP,1.1033257542182806
peripheral,FIEE,0.8400653105937361
peripheral,FKWL,0.8266667069354474
peripheral,FLNT,2.1269948156521425
peripheral,FRAF,-0.03230011381295491
peripheral,FTEK,1.8573311780290942
peripheral,GCBC,0.5018012879046447
peripheral,HFBL,-0.468161810979534
peripheral,HGBL,0.43244079831589266
peripheral,HNNA,0.675970849971614
peripheral,IBIO,1.447951742474949
peripheral,ICCC,0.3309600860253996
peripheral,IDN,1.6640165524086254
peripheral,INOD,2.041679848900965
peripheral,INTZ,1.156865601888683
peripheral,IPM,0.7745152621867015
peripheral,ISBA,0.1653015034977959
peripheral,KOSS,-7.97498722246733
peripheral,KRMD,1.1576469033132009
peripheral,LDWY,1.6649770000686388
peripheral,LFMD,2.61232740818575
peripheral,LINK,0.7254885433752447
peripheral,LIXT,0.7594698583699867
peripheral,LTRX,1.2900832084700427
peripheral,LWLG,0.4407793506560265
peripheral,MGYR,-0.11224756260878653
peripheral,MNSB,0.4205975012444458
peripheral,NAII,0.8823249943587193
peripheral,NECB,0.20480843083713313
peripheral,NOTV,0.6110585593873584
peripheral,OCC,0.9266689779272871
peripheral,OMEX,0.156891120440875
peripheral,ORKA,0.8314195487570681
peripheral,ORMP,1.5683010360073775
peripheral,OVLY,0.6097637828508705
peripheral,PRPH,1.1321476363226501
peripheral,RCAT,1.729847898774666
peripheral,SAVA,3.187328114295499
peripheral,SBET,1.9080668934401197
peripheral,SCWO,0.1159361798000361
peripheral,SGLY,1.0479669972129082
peripheral,SHIP,2.2916278538267716
peripheral,SLNH,3.0291290893241767
peripheral,SMID,0.9944394531900879
peripheral,SSKN,0.800756787515858
peripheral,TATT,0.8608872695175437
peripheral,TAYD,0.30693292943172534
peripheral,TOMZ,-0.10047719154524186
peripheral,UONE,0.7688592014849894
peripheral,VIRC,0.9433385228925384
peripheral,WFCF,0.35348508485646674
peripheral,WKSP,0.7182421007518054
peripheral,WVVI,0.076287263896866
peripheral,ZYXI,0.8392750292675698
